,Essences,,
,,,
,Flavor,Description,Filter
1,Almond,"Unleash the delicate, nutty essence of Sweet Almond flavor, a timeless profile celebrated for its rich, warm, and subtly sweet notes. Perfect for confectionery, baked goods, beverages, and sweet applications, it adds a sophisticated depth and comforting aroma, evoking classic indulgence and culinary elegance",Herbs & Nuts
2,Anise,"Captivate with the bold and distinctive essence of Anise flavor. Its intensely sweet, licorice-like profile offers a unique aromatic complexity, ideal for elevating confectionery, beverages, baked goods, and sweet dishes with an intriguing and sophisticated note.",Herbs & Nuts
3,Apple,"Discover the delightful harmony of Apple flavor. This vibrant profile combines bold berry-like notes of sweet ripe red apples with soft hints of tarty fresh yellow apples, delivering a balanced and refreshing fusion perfect for beverages, confectionery, and desserts.",Fruits
4,Green Apple,"Experience the vibrant zest of Green Apple flavor. Its crisp, tart, and refreshingly sweet profile delivers an invigorating burst of fruity brightness, perfect for confectionery, beverages, desserts, and sweets applications seeking a lively, distinctive twist.",Fruits
5,Yellow Apple,"Delight in the mellow sweetness of Yellow Apple flavor. Its soft, juicy, and subtly sweet profile offers a comforting and classic fruit essence, ideal for confectionery, beverages and desserts seeking a universally appealing and gentle apple note.",Fruits
6,Apricot,"Savor the delicate sweetness of Apricot flavor. Its soft, succulent, and subtly tart profile captures the essence of sun-ripened fruit, perfect for adding a warm, naturally sweet, and aromatic touch to beverages, desserts, baked goods, and sweets dishes.",Fruits
7,Banana,"Embrace the comforting sweetness of Banana flavor. Its creamy, rich, and distinctly fruity profile delivers a universally loved taste, perfect for beverages, confectionery, baked goods, and dairy applications seeking a smooth, nostalgic, and naturally sweet essence.",Fruits
8,Banana Cream,"Indulge in the luscious comfort of Banana Cream flavor. This rich, smooth, and sweet profile blends the distinct essence of ripe banana with creamy, decadent notes, perfect for sweets, dairy, baked goods, and desserts seeking a truly luxurious and comforting treat.",Fruits
9,Banoffee Pie,"Experience the decadent harmony of Banoffee Pie flavor. This rich, multi-layered profile perfectly blends sweet ripe banana, luscious toffee, and creamy notes, delivering a truly comforting and irresistible dessert experience.",Desserts
10,Bavarian Cream,"Indulge in the velvety richness of Bavarian Cream flavor. This smooth, sweet, and exquisitely creamy profile delivers a luxurious, comforting essence with delicate vanilla notes, perfect for confectionery, dairy, baked goods, and brews seeking a sophisticated and utterly decadent touch.",Creams
11,Blackberry,"Experience the vibrant allure of Blackberry flavor. Its rich, juicy, and subtly tart profile captures the deep, authentic essence of sun-ripened berries, perfect for beverages, confectionery, desserts, and sweets applications seeking a bold and naturally complex fruit note.",Fruits
12,Blackcurrant,"Unleash the bold intensity of Blackcurrant flavor. Its distinctively rich, tart, and deeply fruity profile offers an aromatic burst with lingering sweet notes, perfect for beverages, confectionery, desserts, and sweets applications seeking a uniquely sophisticated and authentic Middle Eastern blackcurrant profile.",Fruits
13,Blueberry,"Savor the sweet and subtly tart essence of Blueberry flavor. Its juicy, slightly floral profile captures the authentic taste of ripe berries, perfect for beverages, confectionery, baked goods, and dairy applications seeking a versatile and beloved fruit note.",Fruits
14,Bluemist,"Unveil the captivating allure of Blue Mist flavor. This unique and refreshing blend offers a cool, vibrant, and subtly sweet profile, evoking a mysterious medley of berries and mint. Ideal for specialty applications seeking an intriguing and refreshing twist.",Tobacco
15,Brown Butter,"Indulge in the sophisticated richness of Brown Butter flavor. Its warm, sweet, and subtly caramelized profile delivers a deep, complex buttery essence, perfect for elevating baked goods, confections, and sweets creations with a gourmet touch.",Creams
16,Bubble Gum,"Unleash the playful nostalgia of Bubble Gum flavor. Its vibrant, sweet, and unmistakable fruity profile captures the classic confectionary delight, perfect for sweets, candies, and fun applications seeking a joyful and universally loved taste.",Sweets
17,Butterscotch,"Indulge in the sweet warmth of Butterscotch flavor. Its rich, caramelized, and creamy vanilla profile delivers a comforting and classic confectionery essence, perfect for desserts, baked goods, brews and confections seeking a smooth, inviting, and decadent taste.",Desserts
18,Cake,"Experience the delicate charm of Cake flavor. Its light, airy, and gently milky profile evokes the comforting essence of freshly baked cake, perfect for desserts, dairy, and confectionery seeking a classic bakery note.",Desserts
19,Candy,"Savor the pure delight of Candy flavor. This vibrant, sweet, and aromatic profile captures the universally loved essence of classic confections, perfect for candies and treats looking for a versatile candy note.",Sweets
20,Captain,"Experience the distinctive warmth of Captain flavor. Its rich, sweet aromatic profile blends smooth, bold vanilla with the subtle notes of nutty tobacco, evoking a classic sophistication perfect for specialty applications.",Tobacco
21,Caramel,"Savor the timeless allure of Caramel flavor. Its rich, buttery, and deeply sweet profile delivers a comforting warmth with hints of toasted sugar, perfect for confectionery, brews, desserts, and bakery items seeking a classic, versatile, and decadent note.",Sweets
22,Caramel Macchiato,"Experience the sophisticated comfort of Caramel Macchiato flavor. This exquisite blend marries rich espresso notes with luscious caramel and creamy, sweet undertones, delivering a perfectly balanced and indulgent coffeehouse classic, ideal for brews, confections, and desserts.",Beverages
23,Sweet Caramel,"Savor the golden richness of Sweet Caramel flavor. Its smooth, buttery, and intensely sweet profile offers a deeply comforting and versatile caramalized sugar note, perfect for confectionery, sweets, desserts, and bakery items seeking a classic, pure, and delectable caramel essence.",Sweets
24,Cardamom,"Discover the authentic allure of Cardamom flavor. Its unique, warm, and intensely aromatic profile offers a complex blend of spicy and subtly sweet notes, perfect for elevating sweets, baked goods and confections with a sophisticated and intriguing essence.",Herbs & Nuts
25,Champagne,"Celebrate with the effervescent elegance of Champagne flavor. Its bright, sophisticated, and subtly fruity profile captures the crisp, celebratory essence of bubbly, perfect for beverages, confectionery, and desserts seeking a festive and refined touch.",Beverages
26,Cheesecake,"Savor the creamy decadence of Cheesecake flavor. Its rich, smooth, and sweet profile captures the comforting essence of this beloved dessert, perfect for dairy, baked goods, confectionery, and brews seeking a luscious and universally appealing treat.",Desserts
27,Cherry Maraschino,"Brighten your creations with the vibrant sweetness of Cherry Maraschino flavor. Its distinctly sweet, candied cherry profile offers a juicy burst of classic nostalgia, perfect for confectionery, desserts, and sweets seeking a cheerful and iconic fruit note.",Fruits
28,Sweet Cherry,"Savor the luscious depth of Sweet Cherry flavor. Its rich, juicy, and intensely sweet profile captures the essence of perfectly ripened cherries, ideal for confectionery, desserts, and baked goods seeking a vibrant and beloved fruit note.",Fruits
29,Chocolate,"Experience the timeless appeal of Chocolate flavor. Its rich, comforting, and deeply satisfying profile delivers a universally loved sweetness with classic cocoa notes, perfect for confectionery, brews, desserts, and bakery items seeking a truly versatile and irresistible indulgence.",Chocolates
30,Dark Chocolate,"Unleash the sophisticated intensity of Dark Chocolate flavor. Its deep, rich, and bittersweet profile delivers a robust cocoa essence with complex undertones, perfect for confectionery, brews, desserts, and bakery items seeking a truly decadent and refined experience.",Chocolates
31,Chocolate Milk,"Savor the comforting classic of Chocolate Milk flavor. Its smooth, creamy, and perfectly balanced blend of rich cocoa and sweet dairy delivers a universally loved taste, ideal for brews, dairy products, and confections seeking a nostalgic and utterly satisfying profile.",Chocolates
32,White Chocolate,"Delight in the creamy indulgence of White Chocolate flavor. Its rich, smooth, and sweet profile delivers a luxurious milky cocoa essence with delightful vanilla notes, perfect for confectionery, dairy, baked goods, and brews seeking a sophisticated and comforting sweetness.",Chocolates
33,Chocomint,"Discover the refreshing delight of Chocomint flavor. This invigorating profile harmoniously blends rich, classic chocolate with a cool, vibrant burst of peppermint, perfect for confectionery, dairy, desserts, and brews seeking a balanced and uplifting taste.",Chocolates
34,Choconut,"Uncover the comforting blend of Choconut flavor. This inviting profile unites rich, classic chocolate with warm, toasted nutty notes, perfect for confectionery, baked goods, brews, and dairy products seeking a satisfying and harmonious taste.",Chocolates
35,Cigar,"Uncover the robust complexity of Cigar flavor. This sophisticated profile delivers deep, earthy, and aromatic notes with hints of spice and nuts, perfect for specialty applications seeking a distinctive and refined essence.",Tobacco
36,Cinnamon,"Awaken the senses with the warm embrace of Cinnamon flavor. Its sweet, spicy, and inviting profile delivers a comforting aroma and taste, perfect for baked goods, beverages, confectionery, and sweets seeking a classic and aromatic zest.",Herbs & Nuts
37,Clove,"Tickle your senses with the intense warmth of Clove flavor. Its sweet and highly aromatic profile delivers a distinctive spicy note, perfect for elevating baked goods, beverages, confections, and sweets with a bold and exotic zest.",Herbs & Nuts
38,Cocoa,"Discover the rich, comforting depth of Cocoa flavor. Its classic, robust profile delivers an authentic chocolate essence with subtle bittersweet notes, ideal for confectionery, brews, baked goods, and dairy applications seeking a pure and inviting cocoa taste.",Chocolates
39,Coconut,"Unleash the tropical sweetness of Coconut flavor. Its creamy, rich, and distinctly exotic profile delivers a luscious taste of paradise, perfect for beverages, confectionery, desserts, and dairy products seeking a vibrant and authentic slightly toasted coconut.",Fruits
40,Coffee,"Awaken your senses with the bold richness of Coffee flavor. Its deep, aromatic profile delivers the comforting intensity of freshly roasted beans, perfect for brews, dairy, desserts, and confectionery seeking an authentic and robust coffee essence.",Beverages
41,Coffee with Cardamom,"Discover the aromatic harmony of Coffee with Cardamom flavor. This captivating blend combines rich, roasted coffee notes with the warm, exotic spice of cardamom, perfect for brews, desserts, and specialty applications seeking a distinctive and invigorating Middle Eastern taste.",Beverages
42,Cola,"Awaken your palate with the iconic zest of Cola flavor. This iconic flavor delicately balances notes of spicy cola nut with zesty lime, delivering that universally loved, refreshing punch, perfect for beverages, confections, and fun applications seeking a classic and invigorating taste.",Beverages
43,Cookies,"Discover the comforting charm of Cookies flavor. This delightful profile captures the wholesome essence of freshly baked goodness, blending a sweet, buttery base with spice-like notes, perfect for dairy, confections, and sweets seeking a distinctive taste.",Desserts
44,Coolmint,"Invigorate your senses with Coolmint flavor. This crisp, clean, and intensely refreshing profile delivers an icy burst of pure mint, perfect for specialty applications seeking an exhilarating and long-lasting cooling sensation.",Herbs & Nuts
